Urban rural status,date,N_vaccinated,population,Vaccination rate
Non-core,2021-03-21,59294,447279,13.2566
Small metro,2021-03-21,72686,491627,14.7848
Large central metro,2021-03-22,485199,3361980,14.4319
Large fringe metro,2021-03-22,371294,2472283,15.0183
Medium metro,2021-03-22,463896,2998590,15.4705
Micropolitan,2021-03-22,275164,1903516,14.4556
Non-core,2021-03-22,59877,447279,13.3869
Small metro,2021-03-22,73401,491627,14.9302
Large central metro,2021-03-23,493851,3361980,14.6893
Large fringe metro,2021-03-23,378574,2472283,15.3127
Medium metro,2021-03-23,473339,2998590,15.7854
Micropolitan,2021-03-23,282081,1903516,14.8189
Non-core,2021-03-23,62179,447279,13.9016
Small metro,2021-03-23,75440,491627,15.345
Large central metro,2021-03-24,508277,3361980,15.1184
Large fringe metro,2021-03-24,389767,2472283,15.7655
Medium metro,2021-03-24,485319,2998590,16.1849
Micropolitan,2021-03-24,290782,1903516,15.276
Non-core,2021-03-24,64148,447279,14.3418
Small metro,2021-03-24,77808,491627,15.8266
Large central metro,2021-03-25,523722,3361980,15.5778
Large fringe metro,2021-03-25,401493,2472283,16.2398
Medium metro,2021-03-25,502101,2998590,16.7446
Micropolitan,2021-03-25,301577,1903516,15.8432
Non-core,2021-03-25,66730,447279,14.9191
Small metro,2021-03-25,81721,491627,16.6226
Large central metro,2021-03-26,540074,3361980,16.0642
Large fringe metro,2021-03-26,419127,2472283,16.953
Medium metro,2021-03-26,513654,2998590,17.1299
Micropolitan,2021-03-26,315787,1903516,16.5897
Non-core,2021-03-26,70244,447279,15.7047
Small metro,2021-03-26,83571,491627,16.9989
Large central metro,2021-03-27,551186,3361980,16.3947
Large fringe metro,2021-03-27,426486,2472283,17.2507
Medium metro,2021-03-27,521978,2998590,17.4074
Micropolitan,2021-03-27,319370,1903516,16.7779
Non-core,2021-03-27,71077,447279,15.891
Small metro,2021-03-27,84062,491627,17.0987
Large central metro,2021-03-28,553914,3361980,16.4758
Large fringe metro,2021-03-28,428839,2472283,17.3459
Medium metro,2021-03-28,523547,2998590,17.4598
Micropolitan,2021-03-28,319854,1903516,16.8033
Non-core,2021-03-28,71162,447279,15.91
Small metro,2021-03-28,84193,491627,17.1254
Large central metro,2021-03-29,562131,3361980,16.7202
Large fringe metro,2021-03-29,435265,2472283,17.6058
Medium metro,2021-03-29,529678,2998590,17.6642
Micropolitan,2021-03-29,324768,1903516,17.0615
Non-core,2021-03-29,72258,447279,16.155
Small metro,2021-03-29,85271,491627,17.3447
Large central metro,2021-03-30,575137,3361980,17.1071
Large fringe metro,2021-03-30,445580,2472283,18.023
Medium metro,2021-03-30,542551,2998590,18.0935
Micropolitan,2021-03-30,332425,1903516,17.4637
Non-core,2021-03-30,73531,447279,16.4396
Small metro,2021-03-30,87995,491627,17.8987
Large central metro,2021-03-31,591049,3361980,17.5804
Large fringe metro,2021-03-31,457988,2472283,18.5249
Medium metro,2021-03-31,562892,2998590,18.7719
Micropolitan,2021-03-31,343859,1903516,18.0644
Non-core,2021-03-31,75726,447279,16.9304
Small metro,2021-03-31,91618,491627,18.6357
Large central metro,2021-04-01,612286,3361980,18.2121
Large fringe metro,2021-04-01,473870,2472283,19.1673
Medium metro,2021-04-01,585227,2998590,19.5167
Micropolitan,2021-04-01,356930,1903516,18.7511
Non-core,2021-04-01,78763,447279,17.6094
Small metro,2021-04-01,94838,491627,19.2906
Large central metro,2021-04-02,632044,3361980,18.7998
Large fringe metro,2021-04-02,487541,2472283,19.7203
Medium metro,2021-04-02,596937,2998590,19.9073
Micropolitan,2021-04-02,367646,1903516,19.314
Non-core,2021-04-02,81341,447279,18.1857
Small metro,2021-04-02,97085,491627,19.7477
Large central metro,2021-04-03,647219,3361980,19.2511
Large fringe metro,2021-04-03,496764,2472283,20.0933
Medium metro,2021-04-03,607188,2998590,20.2491
Micropolitan,2021-04-03,372172,1903516,19.5518
Non-core,2021-04-03,81888,447279,18.308
Small metro,2021-04-03,98009,491627,19.9356
Large central metro,2021-04-04,649092,3361980,19.3068
Large fringe metro,2021-04-04,498212,2472283,20.1519
Medium metro,2021-04-04,608561,2998590,20.2949
Micropolitan,2021-04-04,372722,1903516,19.5807
Non-core,2021-04-04,81968,447279,18.3259
Small metro,2021-04-04,98118,491627,19.9578
Large central metro,2021-04-05,661328,3361980,19.6708
Large fringe metro,2021-04-05,508726,2472283,20.5772
Medium metro,2021-04-05,617950,2998590,20.608
Micropolitan,2021-04-05,378217,1903516,19.8694
Non-core,2021-04-05,83062,447279,18.5705
Small metro,2021-04-05,99238,491627,20.1856
Large central metro,2021-04-06,682656,3361980,20.3052
Large fringe metro,2021-04-06,525289,2472283,21.2471
Medium metro,2021-04-06,639547,2998590,21.3283
Micropolitan,2021-04-06,388771,1903516,20.4238
Non-core,2021-04-06,85065,447279,19.0183
Small metro,2021-04-06,101992,491627,20.7458
Large central metro,2021-04-07,706310,3361980,21.0088
Large fringe metro,2021-04-07,543191,2472283,21.9712
Medium metro,2021-04-07,665774,2998590,22.2029
Micropolitan,2021-04-07,399458,1903516,20.9853
Non-core,2021-04-07,87539,447279,19.5715
Small metro,2021-04-07,105655,491627,21.4909
Large central metro,2021-04-08,739523,3361980,21.9967
Large fringe metro,2021-04-08,565422,2472283,22.8704
Medium metro,2021-04-08,689214,2998590,22.9846
Micropolitan,2021-04-08,413115,1903516,21.7027
Non-core,2021-04-08,90921,447279,20.3276
Small metro,2021-04-08,110987,491627,22.5754
Large central metro,2021-04-09,769075,3361980,22.8757
Large fringe metro,2021-04-09,584940,2472283,23.6599
Medium metro,2021-04-09,708192,2998590,23.6175
Micropolitan,2021-04-09,424968,1903516,22.3254
Non-core,2021-04-09,92993,447279,20.7908
Small metro,2021-04-09,113433,491627,23.073
Large central metro,2021-04-10,791196,3361980,23.5336
Large fringe metro,2021-04-10,598501,2472283,24.2084
Medium metro,2021-04-10,722141,2998590,24.0827
Micropolitan,2021-04-10,431922,1903516,22.6907
Non-core,2021-04-10,93678,447279,20.944
Small metro,2021-04-10,114577,491627,23.3057
Large central metro,2021-04-11,804846,3361980,23.9396
Large fringe metro,2021-04-11,604785,2472283,24.4626
Medium metro,2021-04-11,728264,2998590,24.2869
Micropolitan,2021-04-11,432994,1903516,22.7471
Non-core,2021-04-11,93799,447279,20.971
Small metro,2021-04-11,114803,491627,23.3516
Large central metro,2021-04-12,824226,3361980,24.5161
Large fringe metro,2021-04-12,618080,2472283,25.0004
Medium metro,2021-04-12,742029,2998590,24.7459
Micropolitan,2021-04-12,440604,1903516,23.1469
Non-core,2021-04-12,94672,447279,21.1662
Small metro,2021-04-12,116095,491627,23.6144
Large central metro,2021-04-13,848096,3361980,25.2261
Large fringe metro,2021-04-13,634863,2472283,25.6792
Medium metro,2021-04-13,763449,2998590,25.4603
Micropolitan,2021-04-13,448370,1903516,23.5548
Non-core,2021-04-13,95868,447279,21.4336
Small metro,2021-04-13,118572,491627,24.1183
Large central metro,2021-04-14,875644,3361980,26.0455
Large fringe metro,2021-04-14,652604,2472283,26.3968
Medium metro,2021-04-14,787028,2998590,26.2466
Micropolitan,2021-04-14,456757,1903516,23.9954
Non-core,2021-04-14,97499,447279,21.7983
Small metro,2021-04-14,121352,491627,24.6838
Large central metro,2021-04-15,902758,3361980,26.852
Large fringe metro,2021-04-15,672643,2472283,27.2074
Medium metro,2021-04-15,807485,2998590,26.9288
Micropolitan,2021-04-15,468076,1903516,24.5901
Non-core,2021-04-15,99781,447279,22.3084
Small metro,2021-04-15,124056,491627,25.2338
Large central metro,2021-04-16,925182,3361980,27.519
Large fringe metro,2021-04-16,689480,2472283,27.8884
Medium metro,2021-04-16,821782,2998590,27.4056
Micropolitan,2021-04-16,478547,1903516,25.1402
Non-core,2021-04-16,101170,447279,22.619
Small metro,2021-04-16,126250,491627,25.68
