Urban rural status,date,N_vaccinated,population,Vaccination rate
Small metro,2021-12-16,218453,491627,44.4347
Large central metro,2021-12-17,2002052,3361980,59.5498
Large fringe metro,2021-12-17,1431457,2472283,57.9002
Medium metro,2021-12-17,1602067,2998590,53.4273
Micropolitan,2021-12-17,849786,1903516,44.643
Non-core,2021-12-17,172913,447279,38.6589
Small metro,2021-12-17,218637,491627,44.4721
Large central metro,2021-12-18,2004197,3361980,59.6136
Large fringe metro,2021-12-18,1432838,2472283,57.9561
Medium metro,2021-12-18,1603388,2998590,53.4714
Micropolitan,2021-12-18,850357,1903516,44.673
Non-core,2021-12-18,172981,447279,38.6741
Small metro,2021-12-18,218791,491627,44.5035
Large central metro,2021-12-19,2004926,3361980,59.6353
Large fringe metro,2021-12-19,1433415,2472283,57.9794
Medium metro,2021-12-19,1603921,2998590,53.4892
Micropolitan,2021-12-19,850607,1903516,44.6861
Non-core,2021-12-19,173033,447279,38.6857
Small metro,2021-12-19,218869,491627,44.5193
Large central metro,2021-12-20,2007297,3361980,59.7058
Large fringe metro,2021-12-20,1435243,2472283,58.0533
Medium metro,2021-12-20,1605849,2998590,53.5535
Micropolitan,2021-12-20,851442,1903516,44.73
Non-core,2021-12-20,173215,447279,38.7264
Small metro,2021-12-20,219056,491627,44.5574
Large central metro,2021-12-21,2009468,3361980,59.7704
Large fringe metro,2021-12-21,1436852,2472283,58.1184
Medium metro,2021-12-21,1607467,2998590,53.6074
Micropolitan,2021-12-21,852345,1903516,44.7774
Non-core,2021-12-21,173420,447279,38.7722
Small metro,2021-12-21,219272,491627,44.6013
Large central metro,2021-12-22,2011635,3361980,59.8348
Large fringe metro,2021-12-22,1438438,2472283,58.1826
Medium metro,2021-12-22,1609114,2998590,53.6624
Micropolitan,2021-12-22,853333,1903516,44.8293
Non-core,2021-12-22,173602,447279,38.8129
Small metro,2021-12-22,219559,491627,44.6597
Large central metro,2021-12-23,2013388,3361980,59.887
Large fringe metro,2021-12-23,1439603,2472283,58.2297
Medium metro,2021-12-23,1610454,2998590,53.707
Micropolitan,2021-12-23,853925,1903516,44.8604
Non-core,2021-12-23,173733,447279,38.8422
Small metro,2021-12-23,219728,491627,44.694
